Município,Evento,Status,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Outros Afetados,Registro
Canoas,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,324025,0,0,0,3341,0,0,8180,01/11/2024
Canoas,Tempestade Local/Convectiva - Chuvas Intensas,Registro,324025,0,0,0,0,0,0,0,08/05/2024
Canoas,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,324025,2,372,0,22000,157512,114,0,08/05/2024
Canoas,Tempestade Local/Convectiva - Vendaval,Reconhecido,324025,0,0,0,16,6036,0,6052,19/01/2024
Canudos do Vale,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1807,0,0,0,0,34,0,1622,05/05/2024
Capão Bonito do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1753,0,0,0,0,0,0,1753,06/05/2024
Capão do Cipó,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3107,0,0,0,0,0,0,3699,17/05/2024
Capão do Cipó,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3107,0,0,0,0,0,0,3699,16/04/2024
Capão do Leão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,24294,0,0,0,0,0,0,7500,10/05/2024
Capão do Leão,Tempestade Local/Convectiva - Vendaval,Registro,24294,0,0,0,0,0,0,24000,28/03/2024
Capela de Santana,Alagamentos,Reconhecido,11613,0,0,0,50,100,0,0,03/05/2024
Capitão,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2636,2,15,0,32,106,0,2789,06/05/2024
Capivari do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3890,0,0,0,0,7,0,0,07/05/2024
Caraá,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7313,0,0,0,0,22,0,7291,08/05/2024
Caraá,Tempestade Local/Convectiva - Chuvas Intensas,Registro,7313,0,0,0,0,22,0,7291,06/05/2024
Carazinho,Tempestade Local/Convectiva - Granizo,Registro,59301,0,0,0,0,0,0,4200,08/10/2024
Carlos Barbosa,Enxurradas,Registro,25193,0,3,0,60,0,0,0,29/04/2024
Carlos Barbosa,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,25193,0,0,0,73,0,0,0,03/05/2024
Carlos Gomes,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1607,0,0,0,0,0,0,1355,06/05/2024
Casca,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8648,0,0,0,0,0,0,3500,07/05/2024
Catuípe,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,9323,0,0,0,0,0,0,9323,07/05/2024
Caxias do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,435482,5,0,0,44,760,6,434667,06/05/2024
Centenário,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2967,0,0,0,0,0,0,2967,06/05/2024
Centenário,Tempestade Local/Convectiva - Chuvas Intensas,Registro,2967,0,0,0,0,0,0,2967,22/01/2024
Cerrito,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,6404,0,0,0,0,0,0,2000,07/05/2024
Cerrito,Tempestade Local/Convectiva - Vendaval,Reconhecido,6404,0,1,0,0,600,0,0,21/03/2024
Cerro Branco,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4454,0,0,0,100,200,0,3500,03/05/2024
Cerro Branco,Tempestade Local/Convectiva - Chuvas Intensas,Registro,4454,0,0,0,0,0,0,0,09/04/2024
Cerro Branco,Tempestade Local/Convectiva - Vendaval,Registro,4454,0,0,0,0,0,0,3802,19/01/2024
Cerro Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2417,0,0,0,0,0,0,2417,03/05/2024
Cerro Grande,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2417,0,0,0,0,0,0,150,21/03/2024
Cerro Grande do Sul,Enxurradas,Reconhecido,10280,0,0,0,103,150,0,1000,09/05/2024
Cerro Grande do Sul,Alagamentos,Registro,10280,0,0,0,0,25,0,1000,03/05/2024
