state,municipality,register,COBRADE,population,deaths,injured,sick,displaced,homeless,disapeared,other affecteds,Year
RS,Cachoeirinha,21/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,118294,1,80,0,160,300,0,135459,2024
RS,Cacique Doble,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4865,0,0,0,10,10,0,4583,2024
RS,Cacique Doble,04/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,4865,0,0,0,0,0,0,0,2024
RS,CaiÁara,03/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,5071,0,0,0,0,0,0,5071,2024
RS,CaibatÈ,28/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4954,0,0,0,0,0,0,4704,2024
RS,Camaqu„,25/09/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,62759,0,0,0,0,60,0,62699,2024
RS,Camaqu„,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,62759,0,0,0,0,0,0,1000,2024
RS,Camaqu„,04/03/2024,12300 - Alagamentos,62759,0,0,0,0,0,0,109,2024
RS,Camargo,30/12/2024,13215 - Tempestade Local/Convectiva - Vendaval,2591,0,0,0,0,0,0,0,2024
RS,Camargo,05/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2591,0,0,0,0,0,0,2981,2024
RS,Cambar· do Sul,13/05/2024,13215 - Tempestade Local/Convectiva - Vendaval,6545,0,0,0,0,4,0,299,2024
RS,Campestre da Serra,05/05/2024,12200 - Enxurradas,3247,0,0,0,0,0,0,350,2024
RS,Campina das Missıes,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6117,0,0,0,0,0,0,5882,2024
RS,Campinas do Sul,04/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,5509,0,0,0,0,3,0,5281,2024
RS,Campo Bom,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,60081,0,0,0,280,3200,0,6120,2024
RS,Campo Novo,05/06/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,5459,0,0,0,0,0,0,1200,2024
RS,Campos Borges,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3494,0,0,0,0,30,0,0,2024
RS,Campos Borges,21/03/2024,13215 - Tempestade Local/Convectiva - Vendaval,3494,0,0,0,0,0,0,0,2024
RS,Candel·ria,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,30176,1,7,25,500,800,120,23000,2024
RS,Candel·ria,22/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,30176,0,0,0,0,0,0,0,2024
RS,Candiota,10/12/2024,13215 - Tempestade Local/Convectiva - Vendaval,8776,0,0,0,0,0,0,480,2024
RS,Candiota,01/10/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,8776,0,0,0,0,0,0,160,2024
RS,Candiota,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,8776,0,0,0,0,0,0,10710,2024
RS,Candiota,17/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,8776,0,0,0,0,0,0,160,2024
RS,Canela,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,39238,2,7,5,235,402,0,45000,2024
RS,Canela,03/05/2024,11321 - Deslizamentos,39238,2,7,5,235,402,0,45000,2024
RS,Canela,23/01/2024,13215 - Tempestade Local/Convectiva - Vendaval,39238,0,0,0,11,0,0,39227,2024
RS,CanguÁu,27/09/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,53268,0,0,0,0,4,0,21284,2024
RS,CanguÁu,23/09/2024,13213 - Tempestade Local/Convectiva - Granizo,53268,0,0,0,0,0,0,0,2024
RS,CanguÁu,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,53268,0,0,0,0,0,0,21284,2024
RS,CanguÁu,21/03/2024,13215 - Tempestade Local/Convectiva - Vendaval,53268,0,0,0,0,0,0,49680,2024
