CD_MUN,"Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))",municipio,UF,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,Registro,Protocolo,COBRADE,Status,DH_Outros Afetados,COBRADE_COD,Year
4313706,2236,PALMEIRA DAS MISSOES,RS,34335,0,0,0,0,0,0,04/05/2024,RS-F-4313706-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,34335,13214,2024
4314100,2397.6,PASSO FUNDO,RS,184869,0,0,0,0,0,0,11/10/2024,RS-F-4314100-13213-20241002,13213 - Tempestade Local/Convectiva - Granizo,Registro,2280,13213,2024
4314100,2397.6,PASSO FUNDO,RS,184869,0,0,0,0,468,0,05/06/2024,RS-F-4314100-13214-20240503,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
4119806,1903,PLANALTO,RS,10524,0,0,0,0,0,0,04/05/2024,RS-F-4314704-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,10524,13214,2024
4314902,4087.6,PORTO ALEGRE,RS,1409939,0,0,0,0,0,0,25/12/2024,RS-F-4314902-13214-20241224,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,0,13214,2024
4314902,4087.6,PORTO ALEGRE,RS,1409939,0,50,50,83,10000,0,06/05/2024,RS-F-4314902-13214-20240429,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
4314902,4087.6,PORTO ALEGRE,RS,1409939,0,0,0,0,10000,0,19/01/2024,RS-F-4314902-13214-20240116,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1399000,13214,2024
4315305,1764.4,QUARAI,RS,23021,0,0,0,57,0,0,02/05/2024,RS-F-4315305-13214-20240429,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,7000,13214,2024
4315602,1871.6,RIO GRANDE,RS,197253,0,0,0,0,0,0,16/12/2024,RS-F-4315602-13215-20241206,13215 - Tempestade Local/Convectiva - Vendaval,Registro,10000,13215,2024
4315602,1871.6,RIO GRANDE,RS,197253,0,0,0,43,150,0,27/09/2024,RS-F-4315602-13214-20240925,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,10000,13214,2024
4315602,1871.6,RIO GRANDE,RS,197253,0,0,0,0,0,0,09/05/2024,RS-F-4315602-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
4315602,1871.6,RIO GRANDE,RS,197253,0,0,0,0,10,0,28/03/2024,RS-F-4315602-13215-20240321,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,197243,13215,2024
4315701,2121.8,RIO PARDO,RS,37602,0,0,0,414,3088,0,02/05/2024,RS-F-4315701-12100-20240430,12100 - Inundações,Reconhecido,0,12100,2024
4315701,2121.8,RIO PARDO,RS,37602,0,0,0,0,0,0,25/03/2024,RS-F-4315701-13215-20240321,13215 - Tempestade Local/Convectiva - Vendaval,Registro,0,13215,2024
4316907,2204.2,SANTA MARIA,RS,261027,5,2,0,120,2000,0,02/05/2024,RS-F-4316907-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,269000,13214,2024
4316907,2204.2,SANTA MARIA,RS,261027,0,2,0,0,0,0,21/03/2024,RS-F-4316907-13214-20240321,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,271728,13214,2024
4316907,2204.2,SANTA MARIA,RS,261027,0,1,0,0,6,0,17/01/2024,RS-F-4316907-13214-20240116,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,271728,13214,2024
4317202,1430.4,SANTA ROSA,RS,68595,0,0,0,0,0,0,06/05/2024,RS-F-4317202-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1300,13214,2024
4317202,1430.4,SANTA ROSA,RS,68595,0,0,0,0,0,0,04/01/2024,RS-F-4317202-13215-20231229,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,1200,13215,2024
4317301,1443.6,SANTA VITORIA DO PALMAR,RS,31002,0,0,0,25,60,0,10/05/2024,RS-F-4317301-13214-20240508,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,30917,13214,2024
4317301,1443.6,SANTA VITORIA DO PALMAR,RS,31002,0,0,0,0,0,0,27/03/2024,RS-F-4317301-13214-20240320,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,31002,13214,2024
4317400,2217.4,SANTIAGO,RS,49082,0,0,0,6,12,0,04/05/2024,RS-F-4317400-13214-20240430,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,49280,13214,2024
4317806,2320,SANTO AUGUSTO,RS,13970,0,0,0,0,0,0,03/05/2024,RS-F-4317806-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,13970,13214,2024
4318002,1459,SAO BORJA,RS,61662,0,0,0,200,500,0,07/05/2024,RS-F-4318002-12100-20240505,12100 - Inundações,Reconhecido,1000,12100,2024
4318309,1981.2,SAO GABRIEL,RS,60508,0,0,0,50,1850,0,30/04/2024,RS-F-4318309-12100-20240430,12100 - Inundações,Reconhecido,10000,12100,2024
4318622,669.6,SAO JOSE DOS AUSENTES,RS,3290,0,0,0,0,0,0,06/05/2024,RS-F-4318622-13214-20240506,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,700,13214,2024
4318903,1878.4,SAO LUIZ GONZAGA,RS,34558,0,1,0,0,400,0,16/06/2024,RS-F-4318903-13215-20240615,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,15000,13215,2024
4318903,1878.4,SAO LUIZ GONZAGA,RS,34558,0,0,0,0,0,0,30/05/2024,RS-F-4318903-13214-20240523,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,34558,13214,2024
4319802,1736.8,SAO VICENTE DO SUL,RS,8440,0,0,0,0,0,0,01/10/2024,RS-F-4319802-13215-20241001,13215 - Tempestade Local/Convectiva - Vendaval,Registro,18,13215,2024
4319802,1736.8,SAO VICENTE DO SUL,RS,8440,0,0,0,60,90,0,06/05/2024,RS-F-4319802-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8290,13214,2024
4319802,1736.8,SAO VICENTE DO SUL,RS,8440,0,0,0,0,0,0,25/04/2024,RS-F-4319802-13214-20240416,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,10,13214,2024
4319802,1736.8,SAO VICENTE DO SUL,RS,8440,0,0,0,0,0,0,28/03/2024,RS-F-4319802-13215-20240321,13215 - Tempestade Local/Convectiva - Vendaval,Registro,0,13215,2024
4319802,1736.8,SAO VICENTE DO SUL,RS,8440,0,0,0,0,0,0,18/01/2024,RS-F-4319802-13215-20240116,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,8440,13215,2024
4320404,2702.4,SERAFINA CORREA,RS,14243,2,3,0,0,76,0,11/06/2024,RS-F-4320404-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,17993,13214,2024
4320404,2702.4,SERAFINA CORREA,RS,14243,2,3,0,106,466,1,02/05/2024,RS-F-4320404-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,16383,13214,2024
4320800,2256.4,SOLEDADE,RS,30065,0,0,0,0,0,0,26/09/2024,RS-F-4320800-13215-20240920,13215 - Tempestade Local/Convectiva - Vendaval,Registro,84,13215,2024
4320800,2256.4,SOLEDADE,RS,30065,0,0,0,15,25,0,03/05/2024,RS-F-4320800-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,30025,13214,2024
4320800,2256.4,SOLEDADE,RS,30065,0,0,0,0,0,0,22/03/2024,RS-F-4320800-13215-20240321,13215 - Tempestade Local/Convectiva - Vendaval,Registro,4800,13215,2024
4321352,121.6,TAVARES,RS,5351,0,0,0,0,6,0,03/10/2024,RS-F-4321352-13214-20240924,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,556,13214,2024
4321352,121.6,TAVARES,RS,5351,0,0,0,0,0,0,09/05/2024,RS-F-4321352-12300-20240504,12300 - Alagamentos,Reconhecido,1800,12300,2024
4321451,1981.8,TEUTONIA,RS,27265,0,0,0,21,250,3,01/05/2024,RS-F-4321451-13214-20240430,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
4321451,1981.8,TEUTONIA,RS,27265,0,0,0,0,3,0,17/01/2024,RS-F-4321451-13215-20240116,13215 - Tempestade Local/Convectiva - Vendaval,Não reconhecido,84,13215,2024
4321600,1179,TRAMANDAI,RS,41655,0,0,0,0,0,0,14/10/2024,RS-F-4321600-13215-20241011,13215 - Tempestade Local/Convectiva - Vendaval,Registro,6,13215,2024
4322202,2239,TUPANCIRETA,RS,22286,0,0,0,1,46,0,04/05/2024,RS-F-4322202-13214-20240429,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,19958,13214,2024
4322400,1588,URUGUAIANA,RS,125507,0,0,0,297,1836,0,07/05/2024,RS-F-4322400-12100-20240504,12100 - Inundações,Reconhecido,1200,12100,2024
4322400,1588,URUGUAIANA,RS,125507,0,0,0,0,0,0,16/03/2024,RS-F-4322400-13214-20240316,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3360,13214,2024
4322509,2175,VACARIA,RS,61345,0,0,0,0,0,0,13/09/2024,RS-F-4322509-13213-20240913,13213 - Tempestade Local/Convectiva - Granizo,Registro,0,13213,2024
4322509,2175,VACARIA,RS,61345,0,0,0,0,0,0,07/05/2024,RS-F-4322509-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,64817,13214,2024
4322509,2175,VACARIA,RS,61345,0,0,0,0,10,0,14/05/2024,RS-F-4322509-13214-20240402,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,13214,2024
4322509,2175,VACARIA,RS,61345,0,0,0,0,0,0,19/01/2024,RS-F-4322509-13215-20240116,13215 - Tempestade Local/Convectiva - Vendaval,Registro,0,13215,2024
4322509,2175,VACARIA,RS,61345,0,0,0,0,0,0,19/01/2024,RS-F-4322509-13215-20240109,13215 - Tempestade Local/Convectiva - Vendaval,Registro,0,13215,2024
