"country","state","municipality","municipality - state","geocode","feature_id","class","class_level_0","class_level_1","class_level_2","2013","2023","new column","total_eventos","total_afetados","populacao_total","percentual_afetados","municipality (Right)","state (Right)"
"Brasil","Pará","Altamira","Altamira - PA",1500602,159,3,"Natural","1. Forest","1.1. Forest Formation",14261394.8372968,13699427.3257535,-3.9404807030068807,3,551,105030,"0.5246120156145863","Altamira","PA"
"Brasil","Pará","Altamira","Altamira - PA",1500602,159,4,"Natural","1. Forest","1.2. Savanna Formation",174510.366698123,170933.277000711,-2.049786362319561,3,551,105030,"0.5246120156145863","Altamira","PA"
"Brasil","Pará","Altamira","Altamira - PA",1500602,159,6,"Natural","1. Forest","1.4 Floodable Forest",716027.12663642,697507.609360372,-2.5864267689193023,3,551,105030,"0.5246120156145863","Altamira","PA"
"Brasil","Pará","Ananindeua","Ananindeua - PA",1500800,161,3,"Natural","1. Forest","1.1. Forest Formation",5369.25135010983,5080.84333375854,-5.371475417059594,1,200,471744,"0.04239587572920906","Ananindeua","PA"
"Brasil","Pará","Ananindeua","Ananindeua - PA",1500800,161,4,"Natural","1. Forest","1.2. Savanna Formation",0,0,,1,200,471744,"0.04239587572920906","Ananindeua","PA"
"Brasil","Pará","Ananindeua","Ananindeua - PA",1500800,161,5,"Natural","1. Forest","1.3. Mangrove",946.219823474129,952.65504277955,0.6800977051815961,1,200,471744,"0.04239587572920906","Ananindeua","PA"
"Brasil","Pará","Ananindeua","Ananindeua - PA",1500800,161,6,"Natural","1. Forest","1.4 Floodable Forest",3897.71135966795,3890.02653344724,-0.19716252722635272,1,200,471744,"0.04239587572920906","Ananindeua","PA"
"Brasil","Pará","Anapu","Anapu - PA",1500859,162,3,"Natural","1. Forest","1.1. Forest Formation",965054.535189655,849145.652792146,-12.010604392914475,1,5196,20493,"25.354999268042743","Anapu","PA"
"Brasil","Pará","Anapu","Anapu - PA",1500859,162,4,"Natural","1. Forest","1.2. Savanna Formation",1.60287484130859,10.2429074768066,539.0335173296669,1,5196,20493,"25.354999268042743","Anapu","PA"
"Brasil","Pará","Anapu","Anapu - PA",1500859,162,6,"Natural","1. Forest","1.4 Floodable Forest",24232.5570206113,23450.3155037656,-3.228060151392013,1,5196,20493,"25.354999268042743","Anapu","PA"
