municipality,state,total_eventos,total_afetados,populacao_total,percentual_afetados
Ceará-Mirim,RN,1,0,67844,0.0
Celso Ramos,SC,2,0,2773,0.0
Centenário,RS,2,5934,2967,200.0
Cerrito,RS,2,2601,6404,40.61524047470331
Cerro Branco,RS,3,7602,4454,170.67804220925012
Cerro Grande,RS,2,2567,2417,106.20604054613156
Cerro Grande Do Sul,RS,2,2278,10280,22.15953307392996
Cerro Largo,RS,2,14005,13289,105.38791481676574
Chapada,RS,1,9478,9377,101.0771035512424
Chapadão Do Lageado,SC,2,2950,2764,106.72937771345876
Chapecó,SC,2,0,183561,0.0
Charqueadas,RS,1,6915,35363,19.5543364533552
Charrua,RS,2,2968,3471,85.50849899164506
Chiapetta,RS,1,4044,4044,100.0
Chopinzinho,PR,1,167,19673,0.8488791745031261
Chuvisca,RS,2,5444,4944,110.11326860841424
Chuí,RS,1,6262,5919,105.7948977867883
Cidreira,RS,1,3200,12654,25.28844634107792
Ciríaco,RS,4,4350,4922,88.3787078423405
Clevelândia,PR,1,500,17232,2.9015784586815228
Coari,AM,1,810,75909,1.067067146188199
Cocal Do Sul,SC,1,418,15171,2.7552567398325754
Codó,MA,1,0,118072,0.0
Colares,PA,1,8369,11382,73.52837814092426
Colatina,ES,2,398,111794,0.356011950551908
Colinas,MA,2,3360,39167,8.578650394464727
Colinas,RS,3,7500,2420,309.91735537190084
Colniza,MT,2,102,26390,0.38651004168245545
Colorado,RS,2,3552,3550,100.05633802816902
Coluna,MG,1,550,9024,6.094858156028369
Conceição,PB,1,690,18366,3.7569421757595554
Conceição De Ipanema,MG,1,800,4467,17.909111260353704
Conceição De Macabu,RJ,1,1200,21200,5.660377358490567
Conceição Do Lago-Açu,MA,1,1459,14428,10.112281674521762
Conceição Do Mato Dentro,MG,2,3309,17914,18.47158646868371
Conceição Do Pará,MG,1,255,5162,4.939945757458349
Concórdia Do Pará,PA,1,5248,28221,18.596080932638813
Conde,BA,1,537,23594,2.2760023734847845
Condor,RS,1,6500,6552,99.20634920634922
Confresa,MT,1,0,25127,0.0
Congonhal,MG,1,211,10480,2.013358778625954
Conquista,MG,1,3,6527,0.04596292324191818
Conselheiro Pena,MG,3,18996,22232,85.4444044620367
Constantina,RS,1,9741,9741,100.0
Contagem,MG,8,1510,603048,0.2503946617847999
Contendas Do Sincorá,BA,2,1592,4663,34.14111087282865
Coqueiro Baixo,RS,1,1290,1528,84.42408376963351
Cordeiro,RJ,1,1221,20403,5.984414056756359
Coroaci,MG,1,140,10274,1.362663032898579
Coronel Barros,RS,1,2822,2459,114.76209841398943
Coronel Bicaco,RS,1,7748,7748,100.0
Coronel Ezequiel,RN,1,2050,5405,37.92784458834413
Coronel Fabriciano,MG,1,5308,103797,5.1138279526383235
Coronel Pilar,RS,2,1400,1725,81.15942028985508
Coronel Sapucaia,MS,5,8,14064,0.05688282138794084
Correia Pinto,SC,1,2000,14794,13.5189941868325
Corumbiara,RO,1,0,8802,0.0
Corumbá,MS,2,321,103772,0.3093319970705007
Corumbá De Goiás,GO,1,674,10344,6.515854601701469
Corupá,SC,3,0,13852,0.0
Cotegipe,BA,2,7012,13638,51.41516351371169
Cotiporã,RS,1,3917,3917,100.0
Coxilha,RS,2,350,2826,12.384996461429584
Coxim,MS,2,4,32180,0.012430080795525171
Cravolândia,BA,1,800,5042,15.866719555731853
Crissiumal,RS,1,14085,14085,100.0
Cristal,RS,2,1344,7280,18.461538461538463
Cristal Do Sul,RS,1,2826,2826,100.0
Crisólita,MG,1,5265,6040,87.16887417218543
Cruz Alta,RS,4,59231,62825,94.27934739355352
Cruzaltense,RS,1,1635,2141,76.366184026156
Cruzeiro Do Oeste,PR,2,56,20419,0.2742543709290367
Cruzeiro Do Sul,AC,1,500,78444,0.6373973790219775
Cruzeiro Do Sul,RS,2,28452,12331,230.7355445624848
Cruzeta,RN,1,70,7968,0.8785140562248996
Cunha Porã,SC,1,17,10613,0.16018091020446623
Curitiba,PR,3,132,1746896,0.00755625978879109
Curitibanos,SC,1,0,37774,0.0
Currais,PI,1,2,4704,0.04251700680272109
Curral De Dentro,MG,1,1822,6930,26.291486291486294
Curralinho,PA,1,8460,28582,29.59904835210972
Curuá,PA,1,2676,12262,21.823519817321806
Cáceres,MT,2,28000,87912,31.85003185003185
Cássia,MG,1,10413,17428,59.7486802845995
Cândido De Abreu,PR,1,4160,16662,24.966990757412074
Cândido Godói,RS,2,6294,6535,96.31216526396328
Cícero Dantas,BA,3,35206,32304,108.98340762753837
David Canabarro,RS,2,6591,4683,140.74311338885332
Delfim Moreira,MG,1,300,7971,3.763643206624012
Derrubadas,RS,1,2751,3190,86.23824451410658
Descanso,SC,1,18,8638,0.2083815698078259
Desterro De Entre Rios,MG,2,3800,7002,54.27020851185376
Desterro Do Melo,MG,1,1500,3009,49.85044865403789
Dezesseis De Novembro,RS,3,2585,2866,90.195394277739
Diamantina,MG,1,47702,45884,103.96216546072705
Dilermando De Aguiar,RS,3,3066,3064,100.06527415143603
Dionísio,MG,1,6,8739,0.06865774116031582
Dionísio Cerqueira,SC,2,3024,14801,20.431051955948924
Divinópolis,MG,1,0,213076,0.0
Dois Irmãos,RS,1,60,27572,0.21761207021616133
Dois Irmãos Das Missões,RS,1,2157,2157,100.0
