CD_MUN,municipality,area,population2022,population2024,event,status,deaths,injured,sick,missing,evacuated,displaced,otherAffected,record,totalAffected,totalNotAffected,totalAffectedNormalized,totalNotAffectedNormalized,percentageAffected
4306353,Dezesseis de Novembro,216.341,2507,2544,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,0,06/05/2024,0,2544,0,2544,0
4306379,Dilermando de Aguiar,600.518,2806,2859,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,64,0,3000,01/05/2024,3064,-205,3064,0,100
4306403,Dois Irmãos,67.509,30709,31769,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,60,0,0,07/05/2024,60,31709,60,31709,0.188863357
4306429,Dois Irmãos das Missões,226.072,2090,2133,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,12,0,2145,03/05/2024,2157,-24,2157,0,100
4306452,Dois Lajeados,133.535,3097,3158,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,39,0,03/05/2024,39,3119,39,3119,1.234958835
4306502,Dom Feliciano,1355.195,13051,13291,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,120,0,0,07/05/2024,120,13171,120,13171,0.902866601
4306551,Dom Pedro de Alcântara,78.216,2562,2617,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,1930,13/05/2024,1930,36164,1930,36164,5.066414658
4306601,Dom Pedrito,5194.051,36981,38094, Inundações,Reconhecido,0,0,0,0,0,0,18,09/05/2024,18,2532,18,2532,0.705882353
4306700,Dona Francisca,114.149,3079,3136,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,150,80,3171,03/05/2024,3401,-265,3401,0,100
4306734,Doutor Maurício Cardoso,255.731,4470,4542,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,4470,07/05/2024,4470,72,4470,72,98.41479524
4306759,Doutor Ricardo,107.96,1888,1925,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,200,50,1638,24/05/2024,1888,37,1888,37,98.07792208
4306767,Eldorado do Sul,509.632,39559,40954,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,300,20000,6000,13259,06/05/2024,39559,1395,39559,1395,96.59373932
4306809,Encantado,140.006,22962,23494,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1,12,0,2,923,726,21298,04/05/2024,22962,532,22962,532,97.73559207
4306908,Encruzilhada do Sul,3347.861,23819,24280,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,15,0,7000,06/05/2024,7015,17265,7015,17265,28.89209226
4306924,Engenho Velho,71.191,1296,1317,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,15,15,1500,03/05/2024,1530,-213,1530,0,100
4306957,Entre Rios do Sul,553.915,9158,9364,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,12,0,3068,03/05/2024,3080,-349,3080,0,100
4306932,Entre-Ijuís,119.912,2685,2731,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,60,0,9098,16/05/2024,9158,206,9158,206,97.80008543
4306973,Erebango,152.793,3054,3121,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3054,24/06/2024,3054,67,3054,67,97.85325216
4307005,Erechim,429.164,105705,109497,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,2,0,0,52,0,0,03/05/2024,54,109443,54,109443,0.04931642
4307054,Ernestina,238.558,3034,3097,,,,,,,,,,,,,,,
4307104,Herval,1759.717,6191,6307,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,6191,06/05/2024,6191,116,6191,116,98.16077374
4307203,Erval Grande,285.677,4930,5029,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,4,5163,03/05/2024,5167,-138,5167,0,100
4307302,Erval Seco,357.181,6787,6902,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,7878,03/05/2024,7878,-976,7878,0,100
4307401,Esmeralda,829.587,3195,3264,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,0,0,0,0,0,0,40,10/05/2024,40,3224,40,3224,1.225490196
4307450,Esperança do Sul,148.909,3226,3294,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,3272,15/05/2024,3272,22,3272,22,99.332119
4307500,Espumoso,783.642,15173,15478,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,800,48,14325,03/05/2024,15173,305,15173,305,98.02946117
4307559,Estação,99.757,5582,5688,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,0,0,0,0,0,5517,03/05/2024,5517,171,5517,171,96.99367089
4307609,Estância Velha,51.779,47924,49440,Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,0,0,0,0,0,12,08/05/2024,12,49428,12,49428,0.024271845
4307708,Esteio,27.676,76137,78181, Inundações,Não reconhecido,0,0,0,0,10000,1061,65076,18/05/2024,76137,2044,76137,2044,97.38555403
4307807,Estrela,185.032,32183,33243, Inundações,Reconhecido,0,0,0,0,4000,1100,32183,03/05/2024,37283,-4040,37283,0,100
