Estacao,AnoMes,Precipitacao
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-08,43.0
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-09,1.2000000000000002
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-10,55.4
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-11,74.4
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024,2024-12,113.2
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-01,177.8
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-02,257.6
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-03,28.6
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-04,106.0
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-05,27.2
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-06,34.2
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-07,86.6
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-08,82.4
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-09,22.400000000000002
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-10,44.6
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-11,44.4
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024,2024-12,77.0
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-01,44.4
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-02,138.8
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-03,16.2
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-04,103.0
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-05,35.0
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-06,18.6
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-07,115.4
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-08,56.6
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-09,37.6
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-10,20.599999999999998
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-11,107.8
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024,2024-12,29.2
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-01,155.6
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-02,99.60000000000001
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-03,27.6
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-04,23.0
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-05,50.0
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-06,202.6
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-07,93.60000000000001
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-08,59.2
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-09,13.0
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-10,19.2
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-11,26.400000000000002
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024,2024-12,25.2
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-01,188.4
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-02,88.4
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-03,93.8
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-04,67.8
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-05,9.0
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-06,43.2
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-07,139.6
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-08,22.0
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-09,10.2
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-10,45.8
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-11,56.800000000000004
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024,2024-12,89.2
