"state","municipality","register","COBRADE","population","deaths","injured","sick","displaced","homeless","disapeared","other affecteds","Year"
"RS","Antônio Prado","2024-12-02","13215 - Tempestade Local/Convectiva - Vendaval",12837,0,0,0,0,0,0,0,2024
"ES","Itaguaçu","2024-12-03","13214 - Tempestade Local/Convectiva - Chuvas Intensas",14134,0,0,0,0,0,0,0,2024
"GO","Uruana","2024-12-03","13214 - Tempestade Local/Convectiva - Chuvas Intensas",13821,0,0,0,0,0,0,600,2024
"PR","Curitiba","2024-12-02","13215 - Tempestade Local/Convectiva - Vendaval",1746896,0,0,0,0,0,0,108,2024
"MS","Bataguassu","2024-12-03","12300 - Alagamentos",19825,0,0,0,0,0,0,0,2024
"RS","Relvado","2024-12-03","13214 - Tempestade Local/Convectiva - Chuvas Intensas",2155,1,0,0,0,0,1,2098,2024
"SC","Mafra","2024-12-09","11321 - Deslizamentos",52920,0,0,0,0,0,0,0,2024
"MS","Coronel Sapucaia","2024-11-29","13215 - Tempestade Local/Convectiva - Vendaval",14064,0,0,0,0,0,0,0,2024
"RS","Feliz","2024-11-28","13214 - Tempestade Local/Convectiva - Chuvas Intensas",12359,0,0,350,0,40,0,5370,2024
"RS","Doutor Maurício Cardoso","2024-11-29","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5313,0,0,0,0,0,0,4470,2024
"SC","Sombrio","2024-11-28","13215 - Tempestade Local/Convectiva - Vendaval",26626,0,0,0,0,60,0,31337,2024
"SC","Canoinhas","2024-12-02","13215 - Tempestade Local/Convectiva - Vendaval",52775,0,0,0,0,0,0,8,2024
"SC","Bocaina do Sul","2024-11-28","13214 - Tempestade Local/Convectiva - Chuvas Intensas",3290,0,0,0,0,0,0,5,2024
"PA","Tucumã","2024-12-02","12300 - Alagamentos",33651,0,0,0,0,2,0,8,2024
"MT","Água Boa","2024-11-27","12300 - Alagamentos",20844,0,0,0,0,4,0,0,2024
"BA","Maiquinique","2024-11-27","11321 - Deslizamentos",8782,0,0,0,0,0,0,0,2024
"PE","Manari","2024-11-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",18187,0,0,0,0,0,0,0,2024
"MG","Curral de Dentro","2024-11-29","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6930,0,0,0,0,0,0,1822,2024
"BA","Gandu","2024-11-25","13214 - Tempestade Local/Convectiva - Chuvas Intensas",30329,0,30,20,7,64,0,300,2024
"MG","São João das Missões","2024-12-05","13214 - Tempestade Local/Convectiva - Chuvas Intensas",11715,0,0,0,0,0,0,0,2024
"MG","Serranópolis de Minas","2024-11-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",4425,0,0,0,0,0,0,1200,2024
"MG","Januária","2024-11-25","13215 - Tempestade Local/Convectiva - Vendaval",65464,0,0,0,0,0,0,0,2024
"MG","Novo Oriente de Minas","2024-11-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",10342,0,0,0,0,0,0,600,2024
